,Type de clustering,Quantité de données à traiter,Existence ou non de données d'entraînement ?,Temps de traitement ,Nombre de clusters connus à l'avance ?,Transparence du modèle,Avez-vous réalisé une analyse des données ?,Données complexes (images / vidéo),Dimension de données importantes ?,Nécessité d'une forte robustesse au données bruitées,Des informations dans les données sont manquantes ?,Peu de valeurs abérrantes ?,La répartition des données est déséquilibrée ?,Sûr que toutes les composantes sont importantes ?
,"Hard Clustering, Soft Clustering, Représentation Graphique (Dendogramme), Pas d'importance","Faible, Élevée","Oui, Non","Peut être élevé, Faible","Oui, Non","Oui, Non","Oui, Non","Oui, Non","Oui, Non","Oui, Non","Oui, Non","Oui, Non","Oui, Non","Oui, Non"
K-Means (Simple),"0, -inf, 0, 0","10, 10","0, 0","0, 10","0, -inf","-inf, 0","0, 0","-inf, 0","-inf, 0","-inf, 0","-inf, 0","0, -inf","-inf, 0","0, 0"
K-Medoids (Simple),"0, -inf, 0, 0","10, -inf","0, 0","0, 0","0, -inf","-inf, 0","0, 0","-inf, 0","-inf, 0","-inf, 0","-inf, 0","0, -inf","-inf, 0","0, 0"
DBSCAN (Intermédiaire),"0, -inf, 0, 0","10, 0","0, 0","0, 0","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 0","0, 0","0, 0","10, 0","0, 0","0, 0"
HDBSCAN (Intermédiaire),"0, -inf, 0, 0","0, 10","0, 0","0, -inf","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 0","0, 0","0, 0","10, 0","0, 0","0, 0"
Hierarchical Clustering (Simple),"0, -inf, 0, 0","10, -inf","0, 0","0, -inf","-inf, 0","0, 10","0, 0","-inf, 0","-inf, 0","-inf, 0","-inf, 0","0, -inf","-inf, 0","0, 0"
Gaussian Mixture Model (Simple),"-inf, 0, 0, 0","10, -inf","0, 0","0, 0","0, -inf","-inf, 0","0, 0","-inf, 0","-inf, 0","-inf, 0","-inf, 0","0, -inf","-inf, 0","0, 0"
Spectral Clustering (Simple),"0, -inf, 0, 0","10, -inf","0, 0","0, -inf","0, -inf","-inf, 0","0, 0","-inf, 0","-inf, 0","-inf, 0","-inf, 0","0, -inf","-inf, 0","0, 0"
Mean Shift (Simple),"0, -inf, 0, 0","10, -inf","0, 0","0, -inf","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 0","-inf, 0","-inf, 0","0, -inf","0, 0","0, 0"
Affinity Propagation (Intermédiaire),"-inf, 0, 0, 0","10, -inf","0, 0","0, 0","-inf, 0","-inf, 0","0, 0","-inf, 0","-inf, 0","-inf, 0","-inf, 0","0, -inf","0, 0","0, 0"
BIRCH (Intermédiaire),"0, -inf, 0, 0","0, 20","0, 0","0, 10","0, -inf","-inf, 0","0, 0","-inf, 0","0, 0","0, 0","-inf, 0","10, 0","-inf, 0","0, 0"
